question_id,source_file_name,subject,quiz_name,question_number,difficulty,domain,Primary_Classification,Sub_Classification,Concept_Classification,question_type,question_text,image_url,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation_original,explanation_ai_enhanced,feedback_a,feedback_b,feedback_c,feedback_d
DT-T0-RW-M2-13,DT-T0-RW-M2-Q&A.pdf,Reading,DT-T0-RW-M2,13,Easy,Information & Ideas,Inference,Logical_Conclusions,Comprehension_Inference,multiple_choice,"They are a common fixture in household kitchens... Contrary to most other food-heating appliances...the microwave itself has no internal heating element: flame, coil, or otherwise. Instead, the microwave oven uses the principle of dipole rotation to ____________. Which choice most logically completes the text?",,create a healthy alternative to highly processed foods,give consumers an affordable alternative to restaurant meals,generate heat from the molecules within the food itself,provide structural support to the walls of the appliance,,generate heat from the molecules within the food itself,"The text indicates that microwaves are different from other food-heating appliances because they do not have an internal heating element. Stating that the microwave generates heat from the molecules in the food would logically complete this text, showing how microwaves can successfully heat food without having an internal heating element. The other options do not focus on the heating of food.","The text sets up a contrast: conventional ovens use heating elements, but microwaves do not. The blank must explain how microwaves create heat *without* an element. The principle of 'dipole rotation' causes water molecules within the food to vibrate rapidly, generating heat directly inside the food. Therefore, the logical completion is that this principle is used to generate heat from the food's own molecules.","This is incorrect. The text is about the mechanism of heating, not the nutritional quality of the food.","This is incorrect. The text is about how microwaves work, not their economic value compared to restaurants.","This is the correct answer. It logically explains how a microwave heats food, resolving the contrast with appliances that use external heating elements.","This is incorrect. Dipole rotation is a heating principle, not a method for providing structural support."
DT-T0-RW-M2-14,DT-T0-RW-M2-Q&A.pdf,Reading,DT-T0-RW-M2,14,Easy,Information & Ideas,Inference,Logical_Conclusions,Comprehension_Inference,multiple_choice,"Asymmetric encryption relies on multiple advanced mathematical computations... The specific mathematical details are far too complex for our purposes here, but the important concept is that asymmetric encryption functions by both a public key... and a private key... It can be reasonably concluded that the intended audience for the text is",,historical scholars.,mathematicians.,a general audience.,code-breakers.,,a general audience.,"The excerpt states that ""the specific mathematical details are far too complex for our purposes here,” which most strongly suggests that this text is intended for a general audience, since specific background knowledge is not required. Choices A, B, and D all would necessitate a much more sophisticated explanation to satisfy the intellectual needs of these groups.","The author explicitly states, 'The specific mathematical details are far too complex for our purposes here.' This is a direct signal that the author is intentionally simplifying a complex topic for an audience that is not expected to have specialized knowledge. This type of simplification is characteristic of writing for a general, non-expert audience.",This is incorrect. The text avoids historical details in favor of a simplified conceptual explanation.,This is incorrect. The text explicitly avoids the 'advanced mathematical computations' that a mathematician would be interested in.,This is the correct answer. The deliberate simplification and avoidance of technical details are clear indicators that the text is for a general audience.,This is incorrect. A code-breaker would require the very technical details that the author is intentionally omitting.
DT-T0-RW-M2-15,DT-T0-RW-M2-Q&A.pdf,Reading,DT-T0-RW-M2,15,Medium,Information & Ideas,Inference,Logical_Conclusions,Comprehension_Inference,multiple_choice,"...""Would you like to hear Mademoiselle Reisz play?"" asked Robert... Of course Edna would like to hear Mademoiselle Reisz play; but she feared it would be useless to entreat her. Edna's initial response to the possibility of hearing Mademoiselle Reisz play indicates that Edna is",,wholly apathetic.,"eager, but doubtful that Reisz would oblige.",repulsed by the suggestion.,"disinterested, as she is currently occupied by something else.",,"eager, but doubtful that Reisz would oblige.","In the second paragraph, the following interaction occurs: ""'Would you like to hear Mademoiselle Reisz play?' asked Robert, coming out on the porch where she was. Of course Edna would like to hear Mademoiselle Reisz play; but she feared it would be useless to entreat her."" Edna, then, is ""eager, but doubtful that Reisz would oblige"" by playing for her, as Choice B indicates. Choices A and C are too extreme, and Choice D conveys emotional neutrality, which is not supported by the text.","The text explicitly breaks down Edna's feelings into two parts. First, 'Of course Edna would like to hear Mademoiselle Reisz play,' which shows she is eager. Second, 'but she feared it would be useless to entreat her,' which shows she is doubtful about the outcome. Choice B perfectly combines these two stated feelings.","This is incorrect. The text explicitly states she 'would like to hear' the music, which is the opposite of apathy.",This is the correct answer. It accurately captures the two conflicting feelings explicitly stated in the text: her desire to hear the music ('eager') and her fear that the request would be denied ('doubtful').,"This is incorrect. There is no indication of repulsion; in fact, she desires to hear the music.","This is incorrect. Her interest is clearly on the music, not something else. The text states she 'would like to hear' it."
DT-T0-RW-M2-16,DT-T0-RW-M2-Q&A.pdf,Writing,DT-T0-RW-M2,16,Easy,Standard English Conventions,Form_Structure_And_Sense,Grammar_And_Usage,Grammar_Pronoun_Case,multiple_choice,My German host mom spoke English ____________ for eight months before I convinced her to switch to German. Which choice completes the text so that it conforms to the conventions of Standard English?,,to me,at me,to I,at I,,to me,"The first decision is whether it is more appropriate to ""speak to"" someone or to ""speak at"" someone. As the first option is more effectively used, eliminate Choices B and D. Evaluate Choices A and C; it is more appropriate to ""speak to me"" (as the one spoken to is an indirect object) than it is to ""speak to I."" Choice A is the correct answer.","The phrase 'to ___' requires an object pronoun because the pronoun is the object of the preposition 'to'. The subjective pronoun is 'I', and the objective pronoun is 'me'. Therefore, 'to me' is the grammatically correct choice.",This is the correct answer. 'me' is the correct object pronoun to use after the preposition 'to'.,"This is incorrect, though 'at me' can be grammatical, 'speak at' implies a one-sided, often aggressive, form of speech, which is less likely in this neutral context than 'speak to'.",This is incorrect. 'I' is a subject pronoun and cannot be used as the object of a preposition.,"This is incorrect for two reasons: 'at' is likely the wrong preposition, and 'I' is the wrong pronoun case."
DT-T0-RW-M2-17,DT-T0-RW-M2-Q&A.pdf,Writing,DT-T0-RW-M2,17,Easy,Standard English Conventions,Form_Structure_And_Sense,Grammar_And_Usage,Grammar_Subject_Verb_Agreement,multiple_choice,"The innate immune system ____________ of two major barriers: the skin and the natural flora (i.e., naturally occurring bacteria). Which choice completes the text so that it conforms to the conventions of Standard English?",,consist,consists,consisting,to consist,,consists,"The subject is “system,"" a singular subject requiring a singular verb of ""consists."" Eliminate Choice A for using a plural verb. Eliminate Choice C, which uses a gerund, ultimately leading to a sentence fragment. Choice D uses an infinitive verb, and conjugation is required for a full sentence.","The subject of the sentence is 'The innate immune system,' which is a singular noun. A singular subject requires a singular verb in the present tense. The singular form of the verb 'to consist' is 'consists' (he/she/it consists).",This is incorrect. 'consist' is the plural form of the verb and does not agree with the singular subject 'system'.,This is the correct answer. The singular verb 'consists' correctly agrees with the singular subject 'system'.,"This is incorrect. 'consisting' is a present participle and cannot function as the main verb of a clause without an auxiliary verb (e.g., 'is consisting').",This is incorrect. 'to consist' is an infinitive and cannot be the main verb of the sentence.
DT-T0-RW-M2-18,DT-T0-RW-M2-Q&A.pdf,Writing,DT-T0-RW-M2,18,Easy,Standard English Conventions,Form_Structure_And_Sense,Grammar_And_Usage,Grammar_Verb_Form,multiple_choice,He understood firsthand how being ashamed of your dental health can ____________ your whole demeanor. Which choice completes the text so that it conforms to the conventions of Standard English?,,effect,effects,affects,affect,,affect,"After the verb ""can,” an infinitive verb is required. Eliminate Choices B and C because they are conjugated verbs. “Effect"" is rarely used as a verb, but when it is, it means to bring about. ""Affect"" means to influence. The sentence is much more logical with influence, so ""affect” is the correct answer.","The sentence uses the modal verb 'can,' which must be followed by the base form of a verb. This eliminates 'effects' and 'affects.' The choice is between 'effect' and 'affect.' 'Affect' is a verb meaning 'to influence or have an impact on.' 'Effect' is most commonly a noun meaning 'a result.' In this context, the meaning is 'to influence' the demeanor, so 'affect' is the correct choice.","This is incorrect. 'Effect' is primarily a noun. While it can be a verb meaning 'to bring about,' 'affect' (to influence) is the more logical and common choice here.","This is incorrect. This is a noun meaning 'results,' not a verb.","This is incorrect. This is the third-person singular form of the verb, but a modal verb like 'can' must be followed by the base form.",This is the correct answer. 'Affect' is the correct base form of the verb meaning 'to influence'.
DT-T0-RW-M2-19,DT-T0-RW-M2-Q&A.pdf,Writing,DT-T0-RW-M2,19,Medium,Standard English Conventions,Boundaries,Punctuation,Punctuation_Colon_List_Explanation,multiple_choice,"Reading also stimulates the ____________ consider what it would have been like to be at some historical event, or to form a picture of what one could accomplish in life. Which choice completes the text so that it conforms to the conventions of Standard English?",,"imagination to identify with a hero in a story, to","imagination: to identify with a hero in a story, to","imagination; to identify with a hero in a story, to","imagination, to identify with a hero in a story to",,"imagination: to identify with a hero in a story, to","The independent clause is ""Reading also stimulates the imagination.” The sentence best functions by using a colon and then listing the various ways it stimulates the imagination. Choice B does this perfectly. Choice A is a run-on sentence. Choice C incorrectly uses a semicolon... Choice D incorrectly attaches a list to the independent clause.","The first part of the sentence, 'Reading also stimulates the imagination,' is a complete independent clause. The part that follows is a list of things the imagination does ('consider what it would have been like... or to form a picture...'). A colon is the correct punctuation mark to introduce a list or explanation that clarifies the preceding clause.",This choice creates a grammatically awkward structure and is less clear than using a colon.,This is the correct answer. A colon is used appropriately to introduce an explanation or list that clarifies what is meant by 'stimulates the imagination'.,"This is incorrect. A semicolon is used to connect two independent clauses, but the phrase following the punctuation is not an independent clause.","This choice incorrectly uses a comma to attach a list, which can be confusing, and also omits a necessary comma in the list itself."
DT-T0-RW-M2-20,DT-T0-RW-M2-Q&A.pdf,Writing,DT-T0-RW-M2,20,Easy,Standard English Conventions,Form_Structure_And_Sense,Grammar_And_Usage,Grammar_Subject_Verb_Agreement,multiple_choice,I don't think anyone would call me a world traveler. I have only been overseas twice. Everywhere I have traveled there ____________ a trend—the ever-present difficulty of learning the new language. Which choice completes the text so that it conforms to the conventions of Standard English?,,has been,have been,will have been,be,,has been,"The subject and verb must agree. In this case, the subject is ""trend,” which is a singular noun that will require a corresponding verb. Eliminate Choices B and D for being plural verbs. Choice C incorrectly uses future perfect tense, whereas present is the desired tense. “There has been a trend” is the best answer.","In the structure 'there + verb,' the true subject follows the verb. The subject here is 'a trend,' which is singular. Therefore, the verb must also be singular. 'has been' is the singular present perfect form and fits the context of a trend that has existed across past travels.",This is the correct answer. The singular verb 'has been' correctly agrees with the singular subject 'a trend'.,This is incorrect. 'have been' is a plural verb.,"This is incorrect. 'will have been' is future tense, but the travel and the trend are in the past and present.",This is incorrect. 'be' is an infinitive/subjunctive form and does not create a grammatically complete sentence here.
DT-T0-RW-M2-21,DT-T0-RW-M2-Q&A.pdf,Writing,DT-T0-RW-M2,21,Easy,Standard English Conventions,Form_Structure_And_Sense,Grammar_And_Usage,Grammar_Parallel_Structure,multiple_choice,"From the parental conflicts on a little-league team ____________ international exchanges from a World Cup, sports and sociology go hand in hand. Which choice completes the text so that it conforms to the conventions of Standard English?",,to,when,from,in,,to,"A common linguistic pattern in English is “from (something or somewhere) . . to (something else or somewhere else)."" Unfortunately, there is no rule behind this per se. It is simply one of the many instances where familiarity with the pattern from common practice is a prerequisite. Choice A is the correct answer.",The sentence uses a common parallel structure to show a range or continuum: 'From [point A] to [point B].' The sentence starts with 'From the parental conflicts...' The logical completion is 'to international exchanges...' to complete the idiomatic pair.,This is the correct answer. It correctly completes the parallel construction 'From X to Y'.,This is incorrect. 'when' does not fit the 'From...' structure.,This is incorrect. 'From...from...' is not the correct parallel structure.,This is incorrect. 'in' does not fit the 'From...' structure.
DT-T0-RW-M2-22,DT-T0-RW-M2-Q&A.pdf,Writing,DT-T0-RW-M2,22,Medium,Standard English Conventions,Boundaries,Punctuation,Punctuation_Dash_Explanation_Definition,multiple_choice,"Now, more than ever, science is beginning to understand the deleterious effects of prolonged stress, ____________. Which choice completes the text so that it conforms to the conventions of Standard English?",,"including—but far from limited to, hypertension, obesity, and heart disease","including—but far from limited to hypertension, obesity, and heart disease","including—but far from limited to; hypertension, obesity, and heart disease","including—but far from limited to—hypertension, obesity, and heart disease",,"including—but far from limited to—hypertension, obesity, and heart disease","“But far from limited to” is a parenthetical phrase; remove it and the sentence still functions effectively. Parenthetical phrases can be surrounded with two commas or two dashes. Choice A is close, but it breaks parallelism by using a dash and then a comma instead of the same punctuation mark twice, as required.",The phrase 'but far from limited to' is a non-essential interruption. Such phrases can be correctly set off from the main sentence by a pair of commas or a pair of dashes. Choice D correctly uses a pair of dashes. The other options mix punctuation (dash and comma) or use a semicolon incorrectly.,"This option incorrectly mixes a dash and a comma, breaking parallelism.","This option uses only one dash, incorrectly connecting the list to the parenthetical phrase.",This option incorrectly uses a semicolon within the parenthetical structure.,This is the correct answer. It correctly uses a pair of dashes to set off the non-essential phrase 'but far from limited to'.
DT-T0-RW-M2-23,DT-T0-RW-M2-Q&A.pdf,Writing,DT-T0-RW-M2,23,Easy,Expression of Ideas,Rhetorical_Synthesis,Sentence_Construction,Rhetoric_Sentence_Placement,multiple_choice,"Firstborn children are leaders. They spend their early years getting lots of attention from their parents, and then they grow up _being responsible for their younger siblings._ These are the people who are perfectionists. The author is considering removing the underlined portion of the sentence. Should it be kept or removed?",,"Kept, because it gives statistical evidence.","Kept, because it provides a helpful elaboration.","Removed, because it is irrelevant to the topic of the sentence.","Removed, because it interrupts the author's line of reasoning.",,"Kept, because it provides a helpful elaboration.","Ultimately, if we were to delete the underlined portion, we would be removing information that was both relevant and productive. It provides a ""helpful elaboration” in this sentence, and it contributes informative value to the text. Choice B is the correct answer.","The underlined portion provides a specific reason or example of how firstborn children's experiences shape them ('grow up being responsible'). This directly supports and elaborates on the general description of their upbringing, connecting their early attention to their later traits. Removing it would weaken the explanation.",This is incorrect. The phrase does not contain any statistics.,"This is the correct answer. The phrase 'being responsible for their younger siblings' elaborates on how they are shaped, providing a useful detail that connects their childhood to their adult traits.",This is incorrect. The detail is directly relevant to how their upbringing as firstborns influences them.,This is incorrect. The phrase logically follows the previous clause and adds to the reasoning rather than interrupting it.
DT-T0-RW-M2-24,DT-T0-RW-M2-Q&A.pdf,Writing,DT-T0-RW-M2,24,Medium,Expression of Ideas,Transitions,Logical_Connectors,Rhetoric_Transition_Contrast,multiple_choice,"Reading is an enriching activity... children who read for pleasure encounter many new words and concepts that expand their minds. ____________ images are frequently used in society today, words, unlike images, require using one's mind to understand them, ponder their meaning, and consider whether they are communicating something true or false. Which choice completes the text with the most logical transition?",,Although,Since,Because,"In addition,",,Although,"A contrasting transition is required here. Essentially, the sentence is images are used often in society, but words require more cognitive processing. “Although” is the only option to achieve that contrast. Choices B and C express cause and effect, while Choice D is acceptable when the text is listing multiple things along the same thought process.","The sentence establishes a contrast. The first part acknowledges a fact ('images are frequently used'). The second part presents an opposing or contrasting idea ('words, unlike images, require more...'). 'Although' is the ideal transition word to signal this kind of contrast or concession.",This is the correct answer. 'Although' correctly sets up the contrast between the commonness of images and the unique cognitive demands of words.,"This is incorrect. 'Since' and 'Because' signal a cause-and-effect relationship, which is not the logic of the sentence.","This is incorrect. 'Since' and 'Because' signal a cause-and-effect relationship, which is not the logic of the sentence.","This is incorrect. 'In addition,' signals the continuation of a similar idea, but the sentence presents a contrast."
DT-T0-RW-M2-25,DT-T0-RW-M2-Q&A.pdf,Writing,DT-T0-RW-M2,25,Medium,Expression of Ideas,Rhetorical_Synthesis,Note_Taking,Rhetoric_Synthesis_Notes,multiple_choice,"While researching a topic, a student has made the following notes: • Miles Davis was a famous jazz musician... • Davis studied for a time at the Julliard School... • Davis is best known for his trumpet playing. • Louis Armstrong was also a famous jazz musician... • Armstrong learned much of his musical skill... by playing on riverboats. • Armstrong is well known for both trumpet playing and vocal skill. The student wants to emphasize a difference between the two musicians. Which choice most effectively uses relevant information to accomplish this goal?",,Davis and Armstrong both were excellent trumpet players.,Davis and Armstrong were both born in the United States.,Armstrong's education was less formal than Davis's.,Davis was born several years earlier than Armstrong.,,Armstrong's education was less formal than Davis's.,"Armstrong learned on riverboats, while Davis attended Julliard, a music conservatory. Therefore, Davis had a more formal education than did Armstrong. It is not A or B, because these are both similarities. It is not D. because Davis was born later than Armstrong.","The goal is to find a difference. The notes state Davis studied at 'the Julliard School, a music conservatory,' which is a formal education. In contrast, Armstrong 'learned much of his musical skill...by playing on riverboats,' which is an informal, experience-based education. This is a clear difference.","This is incorrect. This statement describes a similarity, not a difference.","This is incorrect. This statement describes a similarity, not a difference.",This is the correct answer. It accurately synthesizes the information from the notes about Julliard (formal) and riverboats (informal) to state a key difference.,"This is incorrect. The notes state Davis was born in 1926 and Armstrong in 1901, so Armstrong was born earlier, not Davis."
DT-T0-RW-M2-26,DT-T0-RW-M2-Q&A.pdf,Reading,DT-T0-RW-M2,26,Medium,Expression of Ideas,Rhetorical_Synthesis,Sentence_Construction,Rhetoric_Sentence_Placement,multiple_choice,"We must ask ourselves as a society, what is it that we most value? ____________ If the former, we should shift away from an obsession with manned space flight and invest resources in robotic exploration. Which choice, inserted in the underlined portion, would best connect the preceding and following sentences?",,"Do we seek out knowledge and wisdom, or are we only concerned with chest-thumping and braggadocio?","Are we interested in exploring the moon, nearby planets, and even faraway star systems?",Do we only want to save money so that we can use it for domestic research programs to fight disease here on earth?,"Are we focused on making the world a better place for our children, or do we want to leave them a legacy of environmental devastation?",,"Do we seek out knowledge and wisdom, or are we only concerned with chest-thumping and braggadocio?","The following sentence particularly clarifies which choice makes the most sense, since the ""former"" would be referring to ""knowledge and wisdom""-a sensible rationale for changing to robotic exploration, since such exploration would increase our knowledge but wouldn't give humans bragging rights as the first to land on another planet... and choice D does not give an option that is the focus of the context that follows.",The sentence following the blank begins with 'If the former...' This requires the inserted sentence to present two distinct options. The first option ('the former') must logically connect to the idea of investing in 'robotic exploration.' Choice A presents 'knowledge and wisdom' (which aligns with robotic exploration) versus 'chest-thumping and braggadocio' (which aligns with the 'obsession with manned space flight'). This creates a perfect logical link.,This is the correct answer. It presents a clear dichotomy where 'the former' (knowledge and wisdom) logically leads to the subsequent argument for robotic exploration.,"This is incorrect. It presents a list of exploration targets, not a clear dichotomy of values that the word 'former' can refer to.","This is incorrect. It only presents one option (saving money), so the word 'former' would have nothing to refer to.","This is incorrect. While it presents two options, neither directly relates to the specific subsequent argument about robotic exploration vs. manned space flight."
DT-T0-RW-M2-27,DT-T0-RW-M2-Q&A.pdf,Reading,DT-T0-RW-M2,27,Hard,Expression of Ideas,Transitions,Logical_Connectors,Rhetoric_Transition_Contrast,multiple_choice,At odds with the Standard Model of physics... the known universe appears to be dominated by up to $0.01$ times more matter than antimatter. ____________ such a discrepancy could soon prove to be a silver bullet for both the Standard Model and General Relativity... Which insertion for the underlined portion provides the most logical connection between the previous sentence and the current sentence?,,"Since this is such an influential quantity,","Though it may initially seem insignificant,","Given the paucity of scientific consensus,","Assuming that scientists are willing to disregard their instrumentation,",,"Though it may initially seem insignificant,","The numerical amount of $0.01$ times does not initially seem like a very large number, so choice B gives a helpful introductory connection in the current sentence. Choice A would state that this is a larger quantity than it is; Choice C is incorrect because ""paucity” means “a lack of,"" which would contradict the well-founded scientific observations mentioned; and Choice D would involve scientists ignoring their observations.","The text presents a paradox. A number that seems small ('$0.01$ times more') has a potentially huge effect ('could soon prove to be a silver bullet'). The transition needs to acknowledge this contrast. 'Though it may initially seem insignificant' perfectly captures this idea, bridging the small appearance of the number with its large potential importance.","This is incorrect. This assumes the quantity is already known to be influential, which removes the tension the sentence is building.",This is the correct answer. It sets up the contrast between the small-sounding number and its massive potential implications for physics.,"This is incorrect. 'Paucity' means lack or scarcity. The text describes a measured discrepancy, not a lack of consensus.",This is incorrect. This introduces an unsubstantiated and illogical condition that is not supported by the text.
