question_id,quiz_name,subject,domain,skill_tag,difficulty,question_text,image_url,option_a,option_b,option_c,option_d,correct_answer,explanation_original,explanation_ai_enhanced,feedback_a,feedback_b,feedback_c,feedback_d
CB-T4-RW1-Q11,CB-T4-RW-M1,Reading Writing,"Information and Ideas","Explicit information",Medium,"The following text is from Ezra Pound's 1909 poem ""Hymn III,” based on the work of Marcantonio Flaminio. As a fragile and lovely flower unfolds its gleaming foliage on the breast of the fostering earth, if the dew and the rain draw it forth; So doth my tender mind flourish, if it be fed with the sweet dew of the fostering spirit, Lacking this, it beginneth straightway to languish, even as a floweret born upon dry earth, if the dew and the rain tend it not. Based on the text, in what way is the human mind like a flower?","",It becomes increasingly vigorous with the passage of time.,It draws strength from changes in the weather.,It requires proper nourishment in order to thrive.,It perseveres despite challenging circumstances.,It requires proper nourishment in order to thrive.,"Choice C is the best answer because it presents a description of how the human mind is like a flower that is directly supported by the text. The text compares the needs of a “fragile and lovely flower” to those of the speaker’s “tender mind”: both need to be fed if they’re going to survive. Without such feeding, they’ll “beginneth straightway to languish,” or weaken. Thus, the text suggests that the human mind is like a flower in that they both need proper nourishment in order to thrive. Choice A is incorrect because the text doesn’t address the passage of time or describe either the human mind or a flower as becoming increasingly vigorous. Choice B is incorrect because the text doesn’t suggest that human minds or flowers draw strength from changes in weather. The references to rain in the text pertain to a flower’s need for water rather than the general effects of changing weather. Choice D is incorrect because the text doesn’t suggest that the human mind or a flower will persist regardless of challenging circumstances. In fact, the text indicates that they’ll both languish right away if not given what they need.","The poem uses a direct analogy: ""As a fragile and lovely flower...if the dew and the rain draw it forth; / So doth my tender mind flourish, if it be fed with the sweet dew of the fostering spirit, / Lacking this, it beginneth straightway to languish."" The comparison is explicit: both the flower and the mind need proper ""feeding"" or ""fostering"" (nourishment) to ""flourish"" (thrive) and will ""languish"" (wither) without it.","This choice is incorrect. The text describes the immediate need for nourishment for both the flower and the mind to flourish, not a gradual process of becoming more vigorous over time. In fact, it says they ""languish straightway"" without nourishment.","This choice is incorrect. The ""dew and rain"" are mentioned as nourishment for the flower, not as ""changes in the weather"" that provide strength. The analogy is about constant provision, not adaptation to variable weather.","This is the correct answer. The poem explicitly states that just as a flower needs ""dew and rain"" to ""unfold"" and ""flourish,"" the human mind needs to be ""fed with the sweet dew of the fostering spirit"" to ""flourish."" Without this nourishment, both ""beginneth straightway to languish.""","This choice is incorrect. The poem states that both the flower and the mind will ""languish"" if they lack the necessary nourishment, directly implying that they do *not* persevere despite challenging circumstances but rather succumb to them."
CB-T4-RW1-Q12,CB-T4-RW-M1,Reading Writing,"Information and Ideas","Main idea",Medium,"The following text is adapted from Jack London's 1903 novel The Call of the Wild. Buck is a sled dog living with John Thornton in Yukon, Canada. Thornton alone held [Buck]. The rest of mankind was as nothing. Chance travellers might praise or pet him; but he was cold under it all, and from a too demonstrative man he would get up and walk away. When Thornton's partners, Hans and Pete, arrived on the long-expected raft, Buck refused to notice them till he learned they were close to Thornton; after that he tolerated them in a passive sort of way, accepting favors from them as though he favored them by accepting. Which choice best states the main idea of the text?","",Buck has become less social since he began living with Thornton.,Buck mistrusts humans and does his best to avoid them.,Buck has been especially well liked by most of Thornton's friends.,Buck holds Thornton in higher regard than any other person.,Buck holds Thornton in higher regard than any other person.,"Choice D is the best answer because it most accurately states the main idea of the text. After establishing that Buck views most people “as nothing,” the text explains that Buck won’t acknowledge people other than Thornton unless they appear friendly toward Thornton, and even then he’s only reluctantly accepting. Thus, the text focuses on the idea that Thornton has a special status in Buck’s mind, with Buck holding him in higher regard than other people. Choice A is incorrect because the text conveys that Buck isn’t social with people other than Thornton but doesn’t address Buck’s life or temperament before he lived with Thornton. Choice B is incorrect because the text conveys that Buck doesn’t really care about people other than Thornton and is aloof toward them. However, there’s no indication that Buck mistrusts and avoids people generally; indeed, he accepts Thornton, who is a human. Choice C is incorrect because the text refers to random travelers praising and petting Buck and Thornton’s partners giving Buck favors, but there’s no indication that any of these people are Thornton’s friends or that they have a particular fondness for Buck.","The passage repeatedly emphasizes Buck's unique devotion to Thornton. It states, ""Thornton alone held [Buck]. The rest of mankind was as nothing."" Even when Thornton's partners, Hans and Pete, arrived on the long-expected raft, Buck refused to notice them till he learned they were close to Thornton; after that he tolerated them in a passive sort of way, accepting favors from them as though he favored them by accepting. This shows Buck's singular focus and deep bond with Thornton, placing him above all others.","This choice is incorrect. While the text shows Buck is aloof toward others *compared to Thornton*, it doesn't provide information about Buck's life or temperament before he lived with Thornton or suggest a change in his overall sociability. The focus is on his relationship with Thornton.","This choice is incorrect. The text conveys that Buck doesn't really care about people other than Thornton and is aloof toward them. However, there's no indication that Buck mistrusts and avoids people generally; indeed, he accepts Thornton, who is a human.","This choice is incorrect. The text refers to ""random travelers praising and petting Buck"" and ""Thornton's partners giving Buck favors,"" but there's no indication that any of these people are Thornton's friends or that they have a particular fondness for Buck.","This is the correct answer. The passage explicitly states, ""Thornton alone held [Buck]. The rest of mankind was as nothing."" Buck's behavior towards others is entirely contingent on their proximity or connection to Thornton, demonstrating his unique and superior regard for Thornton."
CB-T4-RW1-Q13,CB-T4-RW-M1,Reading Writing,"Information and Ideas","Quantitative information",Easy,"US States with the Greatest Number of Organic Farms in 2016. Organic farming is a method of growing food that tries to reduce environmental harm by using natural forms of pest control and avoiding fertilizers made with synthetic materials. Organic farms are still a small fraction of the total farms in the United States, but they have been becoming more popular. According to the US Department of Agriculture, in 2016 California had between 2,600 and 2,800 organic farms and _____. Which choice most effectively uses data from the graph to complete the text?","CB-T4-RW1-Q13.png","Washington had between 600 and 800 organic farms.","New York had fewer than 800 organic farms.","Wisconsin and Iowa each had between 1,200 and 1,400 organic farms.","Pennsylvania had more than 1,200 organic farms.","Washington had between 600 and 800 organic farms.","Choice A is the best answer because it uses data from the graph to accurately complete the text. The graph shows the number of organic farms located in each of six US states in 2016: between 2,600 and 2,800 in California; between 1,200 and 1,400 in Wisconsin; between 1,000 and 1,200 in New York; approximately 800 in Pennsylvania; and between 600 and 800 in both Iowa and Washington. The last sentence of the text provides information about the number of organic farms in 2016, first describing the number in California. The best completion of the sentence is the choice that accurately describes the number of organic farms in 2016 in another state, which the assertion that Washington had between 600 and 800 organic farms provides. Choice B is incorrect because it doesn’t accurately reflect the data from the graph. The graph indicates that there were between 1,000 and 1,200 organic farms in New York, not fewer than 800 organic farms. Choice C is incorrect because it doesn’t accurately reflect the data from the graph. While the graph indicates that there were between 1,200 and 1,400 organic farms in Wisconsin in 2016, there were only between 600 and 800 in Iowa. Choice D is incorrect because it doesn’t accurately reflect the data from the graph. The graph indicates that in 2016 there were approximately 800 organic farms in Pennsylvania, not more than 1,200.","The question asks to complete a sentence based on data from the bar graph. The sentence starts by stating California had between 2,600 and 2,800 organic farms. We need to find another state from the graph whose number of organic farms falls within the given range in one of the options. Looking at the graph, Washington's bar extends to between 600 and 800 farms.","This is the correct answer. The bar graph shows that Washington had between 600 and 800 organic farms in 2016, which accurately completes the sentence by providing data from another state that fits the given range.","This choice is incorrect. The graph shows New York had between 1,000 and 1,200 organic farms, which is *not* fewer than 800 organic farms.","This choice is incorrect. While Wisconsin had between 1,200 and 1,400 organic farms, Iowa had between 600 and 800 organic farms. The statement that *each* had between 1,200 and 1,400 is false for Iowa.","This choice is incorrect. The graph shows Pennsylvania had approximately 800 organic farms (a bar extending to the 800 line), not more than 1,200."
CB-T4-RW1-Q14,CB-T4-RW-M1,Reading Writing,"Information and Ideas","Evaluate evidence",Hard,"Biologist Valentina Gómez-Bahamón and her team have investigated two subspecies of the fork-tailed flycatcher bird that live in the same region in Colombia, but one subspecies migrates south for part of the year, and the other doesn't. The researchers found that, due to slight differences in feather shape, the feathers of migratory forked-tailed flycatcher males make a sound during flight that is higher pitched than that made by the feathers of nonmigratory males. The researchers hypothesize that fork-tailed flycatcher females are attracted to the specific sound made by the males of their own subspecies, and that over time the females' preference will drive further genetic and anatomical divergence between the subspecies. Which finding, if true, would most directly support Gómez-Bahamón and her team's hypothesis?","","The feathers located on the wings of the migratory fork-tailed flycatchers have a narrower shape than those of the nonmigratory birds, which allows them to fly long distances.","Over several generations, the sound made by the feathers of migratory male fork-tailed flycatchers grows progressively higher pitched relative to that made by the feathers of nonmigratory males.","Fork-tailed flycatchers communicate different messages to each other depending on whether their feathers create high-pitched or low-pitched sounds.","The breeding habits of the migratory and nonmigratory fork-tailed flycatchers remained generally the same over several generations.","Over several generations, the sound made by the feathers of migratory male fork-tailed flycatchers grows progressively higher pitched relative to that made by the feathers of nonmigratory males.","Choice B is the best answer because it presents a finding that, if true, would most directly support Gómez-Bahamón and her team’s hypothesis about fork-tailed flycatchers. The text indicates that although two subspecies of the birds live in the same region, the tail feathers of the migrating males make a higher-pitched sound than the tail feathers of the nonmigrating males do. Gómez-Bahamón and her team hypothesize that female fork-tailed flycatchers are attracted to the particular sound made by the tail feathers of males of their own subspecies, which will bring about additional “genetic and anatomical divergence” between the two subspecies. If it were found that the pitch generated by the tail feathers of migrating males is getting higher over successive generations, it would indicate that the shape of the migrating subspecies’ tail feathers is diverging further from that of the nonmigrating subspecies. And if females continue to prefer the sounds of the males of their own subspecies, the females of the migrating subspecies will become acclimated to increasingly higher pitches over subsequent generations, causing further divergence between the subspecies. Thus, if it were found that migrating males’ tail feathers were producing higher pitches over time, that would support the researchers’ hypothesis. Choice A is incorrect because the researchers’ hypothesis is that female flycatchers prefer the sounds produced by the tail feathers of males of their own subspecies, which will lead to further divergence between the two subspecies. This finding is about the shape of wing feathers and how that affects long-distance flight, whereas the hypothesis is about the shape of tail feathers and how that relates to female mate preference. Choice C is incorrect because the researchers’ hypothesis is that female flycatchers prefer the sounds produced by the tail feathers of males of their own subspecies, which will lead to further divergence between the two subspecies. This finding focuses on how the tail feather sounds communicate different messages, which doesn’t address differences between the subspecies or female preferences. Choice D is incorrect because the researchers’ hypothesis is that female flycatchers prefer the sounds produced by the tail feathers of males of their own subspecies, which will lead to further divergence between the two subspecies. The finding that breeding habits haven’t changed for either subspecies does not, by itself, suggest anything about female preferences or divergence between the two subspecies.","The hypothesis is that ""female fork-tailed flycatchers are attracted to the specific sound made by the males of their own subspecies, and that over time the females' preference will drive further genetic and anatomical divergence between the subspecies."" To support this, we need evidence of *increasing divergence* in the male sound that attracts the females. If the migratory males' feather sounds are progressively getting higher pitched *relative to the nonmigratory males* over generations, this shows ongoing anatomical change linked to the sound, which would be driven by the female preference, thus confirming the divergence predicted by the hypothesis.","This choice is incorrect. This finding describes a feather characteristic that allows for long-distance flight. While it's a difference between subspecies, it doesn't directly support the hypothesis that *female preference for sound* drives *genetic and anatomical divergence related to that sound*.","This is the correct answer. The hypothesis states that female preference for specific male sounds will lead to ""further genetic and anatomical divergence."" If the sound itself (which is linked to feather shape, an anatomical feature) is becoming progressively higher pitched over generations, it directly shows an ongoing anatomical change in males, likely driven by the hypothesized female preference, thus supporting the divergence aspect of the hypothesis.","This choice is incorrect. This finding suggests different communication methods but doesn't explain *why* divergence would occur or how female preference for a *specific* sound within a subspecies leads to further separation between subspecies. It describes existing communication, not an evolutionary driver of divergence.","This choice is incorrect. The hypothesis is about *divergence* between subspecies driven by female mate choice, not about breeding habits remaining the same. If breeding habits remained the same, it would weaken, not support, the idea of ongoing divergence."
CB-T4-RW1-Q15,CB-T4-RW-M1,Reading Writing,"Information and Ideas","Quantitative information",Medium,"Ablation Rates for Three Elements in Cosmic Dust, by Dust Source. Earth's atmosphere is bombarded by cosmic dust originating from several sources: short-period comets (SPCs), particles from the asteroid belt (ASTs), Halley-type comets (HTCs), and Oort cloud comets (OCCs). Some of the dust's material vaporizes in the atmosphere in a process called ablation, and the faster the particles move, the higher the rate of ablation. Astrophysicist Juan Diego Carrillo-Sánchez led a team that calculated average ablation rates for elements in the dust (such as iron and potassium) and showed that material in slower-moving SPC or AST dust has a lower rate than the same material in faster-moving HTC or OCC dust. For example, whereas the average ablation rate for iron from AST dust is 28%, the average rate for _____. Which choice most effectively uses data from the table to complete the example?","CB-T4-RW1-Q15.png","iron from SPC dust is 20%.","sodium from OCC dust is 100%.","iron from HTC dust is 90%.","sodium from AST dust is 75%.","iron from HTC dust is 90%.","Choice C is the best answer because it most effectively completes the example regarding the ablation rate of iron. The table shows the ablation rates for three elements—iron, potassium, and sodium—found in cosmic dust that comes from one of four sources. The text says that the ablation rate for a given element in slower-moving SPC or AST dust was lower than the ablation rate for that same element in faster-moving HTC or OCC dust. The text then presents the first part of an example of this pattern, describing an ablation rate of 28% for iron in AST dust. The information that iron from HTC dust had an ablation rate of 90% is therefore the most effective way to complete this example—the comparison of a relatively low ablation rate for iron in slower-moving AST dust with a relatively high ablation rate for iron in faster-moving HTC dust illustrates the tendency of ablation rates for a given element to be lower in slower-moving dust than in faster-moving dust. Choice A is incorrect because the text indicates that SPC dust, like AST dust, moves relatively slowly; a comparison of the ablation rates of iron from two slower-moving dust sources could not be an example of the difference between ablation rates in slower-moving dust and faster-moving dust, which is the pattern that the example is supposed to illustrate. Choice B is incorrect because the example in the text is supposed to illustrate the difference in the ablation rates of the same element from slower-moving dust and faster-moving dust, and the first part of the example provides data about the ablation rate of iron, which means the second part of the example must also be about the ablation rate of iron, not the ablation rate of sodium. Choice D is incorrect because the example in the text is supposed to illustrate the difference in the ablation rates of the same element from slower-moving dust and faster-moving dust, and the first part of the example provides data about the ablation rate of iron, which means the second part of the example must also be about the ablation rate of iron, not the ablation rate of sodium. Additionally, any ablation rate from AST dust would be ineffective in this example since AST dust is referenced in the first part of the example and thus additional data focused on AST dust would not illustrate a variation across dust types.","The text states a pattern: ""material in slower-moving SPC or AST dust has a lower rate than the same material in faster-moving HTC or OCC dust."" The example starts with ""iron from AST dust is 28%."" AST dust is ""slower-moving."" To complete the example following the pattern, we need the ablation rate for *iron* from a *faster-moving* dust source (HTC or OCC). Looking at the table, iron from HTC dust is 90%. This clearly illustrates the ""lower rate"" from slow dust (28% AST) vs. ""higher rate"" from fast dust (90% HTC) for the *same element*.","This choice is incorrect. Iron from SPC dust is 20%. SPC dust is also ""slower-moving,"" like AST dust. Providing an example of two slower-moving dust sources (AST and SPC) for the same element does not illustrate the stated pattern: ""slower-moving... has a lower rate than the same material in faster-moving... dust.""","This choice is incorrect. The example in the text focuses on *iron* (""average ablation rate for iron from AST dust is 28%""). To continue the comparison for the *same element* as stated in the rule, the second part of the example must also be about iron, not sodium.","This is the correct answer. The text explains that slower-moving dust (like AST) has a lower ablation rate than faster-moving dust (like HTC) for the same element. The example starts with ""iron from AST dust is 28%."" To complete the pattern, we need the ablation rate for *iron* from a *faster-moving* source. The table shows iron from HTC dust is 90%, perfectly illustrating the rule.","This choice is incorrect. Similar to option B, this choice refers to *sodium* instead of *iron*. The example established its focus on iron, and the rule specifies ""the same material."" Therefore, the second part of the example must also be about iron."
CB-T4-RW1-Q16,CB-T4-RW-M1,Reading Writing,"Information and Ideas","Evaluate evidence",Medium,"Art collectives, like the United States- and Vietnam-based collective The Propeller Group or Cuba's Los Carpinteros, are groups of artists who agree to work together: perhaps for stylistic reasons, or to advance certain shared political ideals, or to help mitigate the costs of supplies and studio space. Regardless of the reasons, art collectives usually involve some collaboration among the artists. Based on a recent series of interviews with various art collectives, an arts journalist claims that this can be difficult for artists who are often used to having sole control over their work. Which quotation from the interviews best illustrates the journalist's claim?","","""The first collective I joined included many amazingly talented artists, and we enjoyed each other's company, but because we had a hard time sharing credit and responsibility for our work, the collective didn't last.""","""We work together, but that doesn't mean that individual projects are equally the work of all of us. Many of our projects are primarily the responsibility of whoever originally proposed the work to the group.""","""Having worked as a member of a collective for several years, it's sometimes hard to recall what it was like to work alone without the collective's support. But that support encourages my individual expression rather than limits it.""","""Sometimes an artist from outside the collective will choose to collaborate with us on a project, but all of those projects fit within the larger themes of the work the collective does on its own.""","""The first collective I joined included many amazingly talented artists, and we enjoyed each other's company, but because we had a hard time sharing credit and responsibility for our work, the collective didn't last.""","Choice A is the best answer because it presents the quotation that best illustrates the journalist’s claim. By indicating that a collective didn’t continue because it was hard to share credit and responsibilities within the group even though the company was enjoyable, the quotation shows that working collaboratively can be difficult for artists who are used to having complete control over their work. Choice B is incorrect because the quotation indicates that members of a collective are able to collaborate together and have agreed on a fair way to manage their responsibilities; this doesn’t demonstrate the challenge of sharing control among members of a collective. Choice C is incorrect because the quotation highlights the support and encouragement of individual expression an artist experiences due to working in a collective; these positive aspects don’t demonstrate the challenge of sharing control among members of a collective. Choice D is incorrect because the quotation doesn’t address any challenges of sharing control among members of a collective; it simply indicates that artists sometimes choose to work with collectives without having to be a member. Therefore, the quotation doesn’t illustrate the journalist’s claim.","The journalist's claim is that collaboration in art collectives ""can be difficult for artists who are often used to having sole control over their work."" This means the feedback needs to highlight a challenge related to sharing control or responsibility. Option A directly addresses this by stating ""because we had a hard time sharing credit and responsibility for our work, the collective didn't last,"" which perfectly illustrates the difficulty experienced by artists accustomed to working independently.","This is the correct answer. The quotation explicitly links the collective's failure to ""hard time sharing credit and responsibility,"" directly illustrating the journalist's claim that artists used to ""sole control"" find collaboration difficult due to issues with shared ownership and accountability.","This choice is incorrect. This quotation describes a system where individual projects are primarily the responsibility of the proposer. This demonstrates a *method* of managing shared work but does not illustrate the *difficulty* or challenge of giving up sole control.","This choice is incorrect. This quotation highlights the *positive* aspects of a collective—support that encourages individual expression. This contradicts the journalist's claim about the *difficulty* of collaboration.","This choice is incorrect. This quotation describes external collaborations fitting within the collective's themes. It does not address the internal challenges or difficulties among members of the collective regarding sharing control over their *own* work."
CB-T4-RW1-Q17,CB-T4-RW-M1,Reading Writing,"Information and Ideas","Quantitative information",Hard,"Effects of Mycorrhizal Fungi on 3 Plant Species. Mycorrhizal fungi in soil benefits many plants, substantially increasing the mass of some. A student conducted an experiment to illustrate this effect. The student chose three plant species for the experiment, including two that are mycorrhizal hosts (species known to benefit from mycorrhizal fungi) and one nonmycorrhizal species (a species that doesn't benefit from and may even be harmed by mycorrhizal fungi). The student then grew several plants from each species both in soil containing mycorrhizal fungi and in soil that had been treated to kill mycorrhizal and other fungi. After several weeks, the student measured the plants' average mass and was surprised to discover that _____. Which choice most effectively uses data from the table to complete the statement?","CB-T4-RW1-Q17.png","broccoli grown in soil containing mycorrhizal fungi had a slightly higher average mass than broccoli grown in soil that had been treated to kill fungi.","corn grown in soil containing mycorrhizal fungi had a higher average mass than broccoli grown in soil containing mycorrhizal fungi.","marigolds grown in soil containing mycorrhizal fungi had a much higher average mass than marigolds grown in soil that had been treated to kill fungi.","corn had the highest average mass of all three species grown in soil that had been treated to kill fungi, while marigolds had the lowest.","broccoli grown in soil containing mycorrhizal fungi had a slightly higher average mass than broccoli grown in soil that had been treated to kill fungi.","Choice A is the best answer because it most effectively uses data from the table to complete the statement. The text explains that mycorrhizal hosts are plants that benefit from the presence of mycorrhizal fungi in the soil and that some such plants produce more mass when grown in the presence of these fungi, while for nonmycorrhizal species the fungi either have no effect or may be harmful. The experiment included two mycorrhizal hosts (corn and marigold) and one nonmycorrhizal species (broccoli). Given the claim in the text that nonmycorrhizal species will see either no difference or a decrease in mass when exposed to mycorrhizal fungi, the student would likely have been surprised by the higher average mass for broccoli grown in the presence of the fungi than the broccoli grown in the soil treated to kill fungi. Choice B is incorrect. Although this choice accurately describes the corn data from the table, the fact that the mycorrhizal host corn is more massive in the presence of the fungi likely fits with what the student expected and would therefore not be surprising. Choice C is incorrect. Although this choice accurately describes the marigold data from the table, the fact that the mycorrhizal host marigold is more massive in the presence of the fungi is likely what the student expected and thus would not be surprising. Choice D is incorrect because it does not accurately represent the data in the table—when grown in soil treated to kill fungi, corn had an average mass of 3.8 g while broccoli had an average mass of 7g—and because making comparisons among the plants in the no-fungi condition, by itself, does not provide a basis to compare the average mass of mycorrhizal hosts and nonmycorrhizal species grown in the presence of the fungi with those grown in the soil treated to kill fungi.","The passage states that nonmycorrhizal species (like broccoli) either ""have no effect or may be harmful"" from fungi, so the student would be ""surprised"" if broccoli in soil with fungi had a *higher* mass than broccoli in soil where fungi were killed.
*   Broccoli with fungi: 7.5g
*   Broccoli without fungi (treated soil): 7g
*   Indeed, 7.5g is slightly higher than 7g, confirming the surprise.","This is the correct answer. The text states nonmycorrhizal species either don't benefit or may be harmed by fungi. Broccoli is a nonmycorrhizal species. The table shows broccoli grown with fungi had an average mass of 7.5g, while broccoli grown in soil treated to kill fungi had 7g. The fact that the mass *increased* (even slightly) with fungi presence, contrary to the expectation of no effect or harm, is indeed surprising.","This choice is incorrect. Corn is a mycorrhizal host, meaning it is *expected* to benefit from fungi. The table shows corn with fungi (15.1g) had a higher mass than broccoli with fungi (7.5g), which is an expected outcome and would not be surprising to the student.","This choice is incorrect. Marigolds are mycorrhizal hosts and are *expected* to benefit. The table shows marigolds with fungi (10.2g) had a much higher average mass than marigolds grown in soil that had been treated to kill fungi (2.4g). This is an expected and significant benefit, not a surprising finding given the context.","This choice is incorrect. This statement compares corn and marigolds *only* in the soil treated to kill fungi (corn 3.8g, marigold 2.4g). While accurate data, this comparison does not relate to the presence or absence of fungi or the student's *surprise* regarding nonmycorrhizal species."
CB-T4-RW1-Q18,CB-T4-RW-M1,Reading Writing,"Information and Ideas","Logical conclusion",Medium,"Several artworks found among the ruins of the ancient Roman city of Pompeii depict a female figure fishing with a cupid nearby. Some scholars have asserted that the figure is the goddess Venus, since she is known to have been linked with cupids in Roman culture, but University of Leicester archaeologist Carla Brain suggests that cupids may have also been associated with fishing generally. The fact that a cupid is shown near the female figure, therefore, _____. Which choice most logically completes the text?","",is not conclusive evidence that the figure is Venus.,suggests that Venus was often depicted fishing.,eliminates the possibility that the figure is Venus.,would be difficult to account for if the figure is not Venus.,is not conclusive evidence that the figure is Venus.","Choice A is the best answer because it presents the conclusion that most logically completes the text’s discussion about the significance of the cupid found at Pompeii. The text indicates that the cupid is near a statue of a female figure who is fishing, and it goes on to indicate that because Venus is associated with cupids, some scholars believe the female figure to be the goddess Venus. But the text then says that, according to archaeologist Carla Brain, cupids may have also been associated with the activity of fishing, which, if true, would suggest that the mere appearance of a cupid near a female figure engaged in fishing does not indicate with certainty that the figure is Venus (that is, the cupid might be associated with fishing, and the figure might be anyone at all). Choice B is incorrect because the text says nothing about how often Venus was depicted fishing in Roman art: it only implies that in certain instances a female figure may or may not be Venus. Choice C is incorrect because Carla Brain’s proposed explanation for the presence of the cupids makes no reference to the female figure, and so the possibility that the figure in the artworks is in fact Venus cannot be definitively eliminated. Choice D is incorrect because there is nothing in the text to suggest that the only reasonable way to interpret the figure is as Venus.","The core of the argument is that while Venus is associated with cupids, archaeologist Carla Brain suggests cupids were *also* associated with fishing generally. If cupids can be associated with fishing regardless of Venus, then the mere presence of a cupid near a fishing figure does *not definitively prove* that the figure is Venus. It simply means it *could* be Venus, or it could be someone else fishing with a cupid.","This is the correct answer. The text states that while Venus is linked to cupids, cupids ""may have also been associated with fishing generally."" If cupids could be associated with fishing in general, then a cupid being near a fishing figure doesn't *conclusively* prove that the figure is Venus; it only means it's a possibility, but not a certainty.","This choice is incorrect. The text introduces the idea that cupids could be associated with fishing generally, which *complicates* the identification of the figure as Venus. It does not suggest or imply that Venus was *often* depicted fishing.","This choice is incorrect. Carla Brain's suggestion *weakens* the argument that the figure *must* be Venus, but it does not *eliminate* the possibility entirely. The figure could still be Venus; the evidence just isn't conclusive.","This choice is incorrect. Carla Brain's suggestion *provides an alternative account* for the cupid's presence. It makes the figure's identity *less certain*, but it doesn't make the situation ""difficult to account for."" In fact, it provides a plausible account even if the figure is not Venus."
CB-T4-RW1-Q19,CB-T4-RW-M1,Reading Writing,"Standard English Conventions","Possessives",Easy,"Literary agents estimate that more than half of all nonfiction books credited to a celebrity or other public figure are in fact written by ghostwriters, professional authors who are paid to write other _____, but whose names never appear on book covers. Which choice completes the text so that it conforms to the conventions of Standard English?","",people's stories,peoples story's,peoples stories,people's story's,people's stories,"Choice A is the best answer. The convention being tested is the use of plural and possessive nouns. The plural possessive noun “people’s” and the plural noun “stories” correctly indicate that there are multiple stories from multiple people. Choice B is incorrect because the context requires the plural possessive noun “people’s” and the plural noun “stories,” not the plural noun “peoples” and the singular possessive noun “story’s.” Choice C is incorrect because the context requires the plural possessive noun “people’s,” not the plural noun “peoples.” Choice D is incorrect because the context requires the plural noun “stories,” not the singular possessive noun “story’s.”","The sentence describes ghostwriters who ""write other _____, but whose names never appear on book covers."" They write books for *multiple people* (celebrities, public figures) and write *multiple narratives* or accounts. Therefore, both ""people"" and ""stories"" must be plural. Since the stories *belong* to the people they write for, ""people"" needs to be possessive plural: ""people's."" And ""stories"" is simply plural. So, ""people's stories.""","This is the correct answer. The context requires the plural possessive form of ""people"" (people's) to indicate that the stories belong to multiple individuals. ""Stories"" is the correct plural form of the noun being written.","This choice is incorrect. ""Peoples"" is the plural form of ""people"" when referring to distinct ethnic groups or nations, not individuals. ""Story's"" is singular possessive. Neither form is correct here.","This choice is incorrect. ""Peoples"" is incorrect as explained above. ""Stories"" is correct as a plural noun, but ""peoples"" is not the correct plural form for individuals.","This choice is incorrect. ""Peoples"" is incorrect as explained above. ""Story's"" is a singular possessive form, meaning ""the story of."" The context requires multiple stories from multiple people."
CB-T4-RW1-Q20,CB-T4-RW-M1,Reading Writing,"Standard English Conventions","Verb tense/mood",Easy,"Like other amphibians, the wood frog (Rana sylvatica) is unable to generate its own heat, so during periods of subfreezing temperatures, it _____ by producing large amounts of glucose, a sugar that helps prevent damaging ice from forming inside its cells. Which choice completes the text so that it conforms to the conventions of Standard English?","",had survived,survived,would survive,survives,survives,"Choice D is the best answer. The convention being tested is the use of verbs to express tense. In this choice, the present tense verb “survives” correctly indicates that the wood frog regularly survives subfreezing temperatures by producing large amounts of glucose. Choice A is incorrect because the past perfect verb “had survived” doesn’t indicate that the wood frog regularly survives subfreezing temperatures by producing large amounts of glucose. Choice B is incorrect because the past tense verb “survived” doesn’t indicate that the wood frog regularly survives subfreezing temperatures by producing large amounts of glucose. Choice C is incorrect because the conditional verb “would survive” doesn’t indicate that the wood frog regularly survives subfreezing temperatures by producing large amounts of glucose.","The sentence describes a general, ongoing ability of the wood frog to cope with subfreezing temperatures. The phrase ""during periods of subfreezing temperatures"" indicates a habitual or regular action. Therefore, the simple present tense is appropriate to describe this characteristic ability. ""Survives"" (simple present) correctly conveys this ongoing, factual ability.","This choice is incorrect. ""Had survived"" is the past perfect tense, indicating an action completed before another past action. This tense implies a single past event or a completed process in the past, not an ongoing, habitual ability as described by ""during periods of.""","This choice is incorrect. ""Survived"" is the simple past tense, referring to an action completed at a specific time in the past. This does not fit the context of a general, recurring ability of the wood frog.","This choice is incorrect. ""Would survive"" is a conditional tense, suggesting a hypothetical or predicted outcome. The sentence describes a factual, established ability of the wood frog, not a hypothetical one.","This is the correct answer. The simple present tense verb ""survives"" correctly conveys the ongoing, habitual action of the wood frog. The phrase ""during periods of subfreezing temperatures"" signals that this is a regular and characteristic ability, making the present tense appropriate."
